HAMILTON
2 - 5:90.15, 1(Clear)(-0)
2 - 6:90.144, 1(Clear)(-0)
2 - 7:90.129, 1(Clear)(-0)
2 - 8:90.631, 1(Clear)(-0)
2 - 9:91.13599, 1(Clear)(-0)
2 - 10:90.172, 1(Clear)(-0)
2 - 11:90.402, 1(Clear)(-0)
2 - 12:90.424, 1(Clear)(-0)
2 - 13:93.041, 2(Clear)(-0)
2 - 14:115.529, 0(Clear)(-0)
2 - 15:90.466, 1(Clear)(-0)
2 - 16:90.22499, 1(Clear)(-0)
2 - 17:89.92, 1(Clear)(-0)
2 - 18:89.966, 1(Clear)(-0)
2 - 19:90.174, 1(Clear)(-0)
2 - 20:89.687, 1(Clear)(-0)
2 - 21:90.303, 1(Clear)(-0)
2 - 22:90.11, 1(Clear)(-0)
2 - 23:89.882, 1(Clear)(-0)
2 - 24:90.245, 1(Clear)(-0)
2 - 25:90.564, 1(Clear)(-0)
2 - 26:91.751, 1(Clear)(-0)
2 - 27:91.708, 1(Clear)(-0)
2 - 28:93.361, 2(Clear)(-0)
2 - 30:107.24, 0(Clear)(-0)
2 - 31:88.757, 1(Clear)(-0)
2 - 32:88.33, 1(Clear)(-0)
2 - 33:89.134, 1(Clear)(-0)
2 - 34:89.127, 1(Clear)(-0)
2 - 35:90.573, 1(Clear)(-0)
2 - 36:90.12099, 1(Clear)(-0)
2 - 37:91.479, 1(Clear)(-0)
2 - 38:89.682, 1(Clear)(-0)
2 - 39:89.943, 1(Clear)(-0)
2 - 40:89.81701, 1(Clear)(-0)
2 - 41:98.638, 1(Clear)(-0)
2 - 42:109.661, 1(Clear)(-0)
2 - 43:111.856, 1(Clear)(-0)
2 - 44:127.878, 2(Clear)(-0)
2 - 45:145.548, 0(Clear)(-0)
2 - 45:120.247, 1(Clear)(-0)
2 - 46:91.15, 1(Clear)(-0)
2 - 47:90.534, 1(Clear)(-0)
2 - 48:89.90701, 1(Clear)(-0)
2 - 49:89.98801, 1(Clear)(-0)
2 - 50:89.12399, 1(Clear)(-0)
2 - 51:89.532, 1(Clear)(-0)
2 - 52:90.217, 1(Clear)(-0)
2 - 53:93.55701, 2(Clear)(-0)
2 - 54:106.195, 0(Clear)(-0)
2 - 55:87.717, 1(Clear)(-0)
2 - 56:87.272, 1(Clear)(-0)
2 - 57:87.23, 1(Clear)(-0)
2 - 58:86.864, 1(Clear)(-0)
2 - 59:87.289, 1(Clear)(-0)
2 - 60:87.21999, 1(Clear)(-0)
2 - 61:87.02499, 1(Clear)(-0)
2 - 62:87.543, 1(Clear)(-0)
2 - 63:87.90701, 1(Clear)(-0)
2 - 64:90.035, 1(Clear)(-0)
2 - 65:88.613, 1(Clear)(-0)
2 - 66:88.23299, 1(Clear)(-0)
2 - 67:89.148, 1(Clear)(-0)
2 - 68:89.856, 1(Retire)(-0)
BOTTAS
3 - 0:97.282, 1(Clear)(-0)
3 - 1:90.564, 1(Clear)(-0)
3 - 2:89.79599, 1(Clear)(-0)
3 - 3:89.77399, 1(Clear)(-0)
3 - 4:89.577, 1(Clear)(-0)
3 - 5:89.671, 1(Clear)(-0)
3 - 6:89.79399, 1(Clear)(-0)
3 - 7:89.682, 1(Clear)(-0)
3 - 8:89.747, 1(Clear)(-0)
3 - 9:89.91701, 1(Clear)(-0)
3 - 10:89.673, 1(Clear)(-0)
3 - 11:89.8, 1(Clear)(-0)
3 - 12:93.59499, 2(Clear)(-0)
3 - 13:109.73, 0(Clear)(-0)
3 - 14:88.62199, 1(Clear)(-0)
3 - 15:88.911, 1(Clear)(-0)
3 - 16:89.035, 1(Clear)(-0)
3 - 17:88.826, 1(Clear)(-0)
3 - 18:89.074, 1(Clear)(-0)
3 - 19:90.719, 1(Clear)(-0)
3 - 20:89.116, 1(Clear)(-0)
3 - 21:89.09499, 1(Clear)(-0)
3 - 22:89.04, 1(Clear)(-0)
3 - 23:89.05701, 1(Clear)(-0)
3 - 24:89.145, 1(Clear)(-0)
3 - 25:89.327, 1(Clear)(-0)
3 - 26:89.62, 1(Clear)(-0)
3 - 27:89.32, 1(Clear)(-0)
3 - 28:88.927, 1(Clear)(-0)
3 - 29:89.27299, 1(Clear)(-0)
3 - 30:89.30801, 1(Clear)(-0)
3 - 31:89.112, 1(Clear)(-0)
3 - 32:88.927, 1(Clear)(-0)
3 - 33:89.311, 1(Clear)(-0)
3 - 34:89.21, 1(Clear)(-0)
3 - 35:89.285, 1(Clear)(-0)
3 - 36:89.815, 1(Clear)(-0)
3 - 37:91.91801, 2(Clear)(-0)
3 - 38:107.719, 0(Clear)(-0)
3 - 39:89.105, 1(Clear)(-0)
3 - 40:89.29099, 1(Clear)(-0)
3 - 41:108.122, 1(Clear)(-0)
3 - 42:111.724, 1(Clear)(-0)
3 - 43:111.643, 1(Clear)(-0)
3 - 44:97.65701, 2(Clear)(-0)
3 - 45:129.246, 0(Clear)(-0)
3 - 46:137.771, 1(Clear)(-0)
3 - 47:123.432, 1(Clear)(-0)
3 - 48:121.356, 2(Clear)(-0)
3 - 49:115.085, 0(Clear)(-0)
3 - 50:87.05801, 1(Clear)(-0)
3 - 51:87.874, 1(Clear)(-0)
3 - 52:88.414, 1(Clear)(-0)
3 - 53:88.81001, 1(Clear)(-0)
3 - 54:89.19599, 1(Clear)(-0)
3 - 55:88.23299, 1(Clear)(-0)
3 - 56:87.95801, 1(Clear)(-0)
3 - 57:88.168, 1(Clear)(-0)
3 - 58:88.048, 1(Clear)(-0)
3 - 59:87.433, 1(Clear)(-0)
3 - 60:87.683, 1(Clear)(-0)
3 - 61:87.982, 1(Clear)(-0)
3 - 62:88.284, 1(Clear)(-0)
3 - 63:88.81701, 1(Clear)(-0)
3 - 64:88.046, 1(Clear)(-0)
3 - 65:87.993, 1(Clear)(-0)
3 - 66:89.269, 1(Clear)(-0)
3 - 67:87.854, 1(Clear)(-0)
3 - 68:88.34701, 1(Retire)(-0)
VETTEL
4 - 0:92.868, 1(Clear)(-0)
4 - 1:88.82, 1(Clear)(-0)
4 - 2:88.66399, 1(Clear)(-0)
4 - 3:88.067, 1(Clear)(-0)
4 - 4:88.312, 1(Clear)(-0)
4 - 5:87.976, 1(Clear)(-0)
4 - 6:88.132, 1(Clear)(-0)
4 - 7:88.361, 1(Clear)(-0)
4 - 8:88.271, 1(Clear)(-0)
4 - 9:88.339, 1(Clear)(-0)
4 - 10:88.17, 1(Clear)(-0)
4 - 11:88.278, 1(Clear)(-0)
4 - 12:88.183, 1(Clear)(-0)
4 - 13:88.20599, 1(Clear)(-0)
4 - 14:88.071, 1(Clear)(-0)
4 - 15:87.913, 1(Clear)(-0)
4 - 16:88.184, 1(Clear)(-0)
4 - 17:88.748, 1(Clear)(-0)
4 - 18:88.288, 1(Clear)(-0)
4 - 19:88.51, 1(Clear)(-0)
4 - 20:91.463, 2(Clear)(-0)
4 - 21:105.677, 0(Clear)(-0)
4 - 22:86.87701, 1(Clear)(-0)
4 - 23:87.386, 1(Clear)(-0)
4 - 24:87.367, 1(Clear)(-0)
4 - 25:87.505, 1(Clear)(-0)
4 - 26:87.548, 1(Clear)(-0)
4 - 27:88.011, 1(Clear)(-0)
4 - 28:87.653, 1(Clear)(-0)
4 - 29:87.822, 1(Clear)(-0)
4 - 30:88.239, 1(Clear)(-0)
4 - 31:87.77499, 1(Clear)(-0)
4 - 32:87.743, 1(Clear)(-0)
4 - 33:87.769, 1(Clear)(-0)
4 - 34:87.923, 1(Clear)(-0)
4 - 35:87.925, 1(Clear)(-0)
4 - 36:88.055, 1(Clear)(-0)
4 - 37:88.012, 1(Clear)(-0)
4 - 38:87.802, 1(Clear)(-0)
4 - 39:88.048, 1(Clear)(-0)
4 - 40:87.78999, 1(Clear)(-0)
4 - 41:88.098, 1(Clear)(-0)
4 - 42:110.825, 2(Clear)(-0)
4 - 43:127.289, 0(Clear)(-0)
4 - 44:148.914, 2(Clear)(-0)
4 - 45:144.948, 0(Clear)(-0)
4 - 46:154.423, 1(Clear)(-0)
4 - 47:126.538, 1(Clear)(-0)
4 - 48:88.23199, 1(Clear)(-0)
4 - 49:87.439, 1(Clear)(-0)
4 - 50:87.12199, 1(Clear)(-0)
4 - 51:87.09499, 1(Clear)(-0)
4 - 52:87.434, 1(Clear)(-0)
4 - 53:87.482, 1(Clear)(-0)
4 - 54:87.35701, 1(Clear)(-0)
4 - 55:87.283, 1(Clear)(-0)
4 - 56:87.37901, 1(Clear)(-0)
4 - 57:87.26499, 1(Clear)(-0)
4 - 58:87.19599, 1(Clear)(-0)
4 - 59:87.22099, 1(Clear)(-0)
4 - 60:87.074, 1(Clear)(-0)
4 - 61:87.344, 1(Clear)(-0)
4 - 62:86.772, 1(Clear)(-0)
4 - 63:87.038, 1(Clear)(-0)
4 - 64:87.35801, 1(Clear)(-0)
4 - 65:87.34, 1(Clear)(-0)
4 - 66:87.547, 1(Clear)(-0)
4 - 67:87.211, 1(Clear)(-0)
4 - 68:88.01, 1(Retire)(-0)
RAIKKONEN
5 - 0:94.2, 1(Clear)(-0)
5 - 1:89.08701, 1(Clear)(-0)
5 - 2:88.731, 1(Clear)(-0)
5 - 3:88.255, 1(Clear)(-0)
5 - 4:88.30901, 1(Clear)(-0)
5 - 5:88.168, 1(Clear)(-0)
5 - 6:88.37, 1(Clear)(-0)
5 - 7:88.255, 1(Clear)(-0)
5 - 8:88.341, 1(Clear)(-0)
5 - 9:88.45, 1(Clear)(-0)
5 - 10:88.153, 1(Clear)(-0)
5 - 11:88.23399, 1(Clear)(-0)
5 - 12:88.42599, 1(Clear)(-0)
5 - 13:88.054, 1(Clear)(-0)
5 - 14:88.187, 1(Clear)(-0)
5 - 15:88.14, 1(Clear)(-0)
5 - 16:88.403, 1(Clear)(-0)
5 - 17:88.641, 1(Clear)(-0)
5 - 18:88.738, 1(Clear)(-0)
5 - 19:88.543, 1(Clear)(-0)
5 - 20:88.229, 1(Clear)(-0)
5 - 21:91.501, 2(Clear)(-0)
5 - 22:107.08, 0(Clear)(-0)
5 - 23:86.954, 1(Clear)(-0)
5 - 24:87.607, 1(Clear)(-0)
5 - 25:87.927, 1(Clear)(-0)
5 - 26:88.12199, 1(Clear)(-0)
5 - 27:88.297, 1(Clear)(-0)
5 - 28:87.771, 1(Clear)(-0)
5 - 29:87.924, 1(Clear)(-0)
5 - 30:87.905, 1(Clear)(-0)
5 - 31:87.972, 1(Clear)(-0)
5 - 32:87.645, 1(Clear)(-0)
5 - 33:88.537, 1(Clear)(-0)
5 - 34:88.008, 1(Clear)(-0)
5 - 35:88.231, 1(Clear)(-0)
5 - 36:88.52599, 1(Clear)(-0)
5 - 37:88.29599, 1(Clear)(-0)
5 - 38:88.398, 1(Clear)(-0)
5 - 39:88.798, 1(Clear)(-0)
5 - 40:90.511, 1(Clear)(-0)
5 - 41:91.911, 1(Clear)(-0)
5 - 42:113.428, 2(Clear)(-0)
5 - 43:130.119, 0(Clear)(-0)
5 - 44:132.088, 2(Clear)(-0)
5 - 45:145.322, 0(Clear)(-0)
5 - 46:149.065, 1(Clear)(-0)
5 - 47:126.66, 1(Clear)(-0)
5 - 48:90.599, 1(Clear)(-0)
5 - 49:89.05801, 1(Clear)(-0)
5 - 50:89.466, 1(Clear)(-0)
5 - 51:93.032, 2(Clear)(-0)
5 - 52:145.313, 0(Clear)(-0)
5 - 53:89.701, 1(Clear)(-0)
5 - 54:92.339, 2(Retire)(-0)
RICCIARDO
6 - 0:99.19299, 1(Clear)(-0)
6 - 1:91.382, 1(Clear)(-0)
6 - 2:90.333, 1(Clear)(-0)
6 - 3:89.962, 1(Clear)(-0)
6 - 4:89.52499, 1(Clear)(-0)
6 - 5:89.66299, 1(Clear)(-0)
6 - 6:89.597, 1(Clear)(-0)
6 - 7:89.516, 1(Clear)(-0)
6 - 8:89.429, 1(Clear)(-0)
6 - 9:88.83, 1(Clear)(-0)
6 - 10:88.88801, 1(Clear)(-0)
6 - 11:89.433, 1(Clear)(-0)
6 - 12:88.409, 1(Clear)(-0)
6 - 13:88.62499, 1(Clear)(-0)
6 - 14:88.717, 1(Clear)(-0)
6 - 15:88.679, 1(Clear)(-0)
6 - 16:88.92599, 1(Clear)(-0)
6 - 17:88.804, 1(Clear)(-0)
6 - 18:89.211, 1(Clear)(-0)
6 - 19:89.209, 1(Clear)(-0)
6 - 20:92.19199, 2(Clear)(-0)
6 - 21:106.428, 0(Clear)(-0)
6 - 22:88.345, 1(Clear)(-0)
6 - 23:88.37801, 1(Clear)(-0)
6 - 24:89.09599, 1(Clear)(-0)
6 - 25:88.40701, 1(Clear)(-0)
6 - 26:88.41901, 1(Clear)(-0)
6 - 27:88.73199, 1(Clear)(-0)
6 - 28:89.69199, 1(Clear)(-0)
6 - 29:88.69599, 1(Clear)(-0)
6 - 30:88.924, 1(Clear)(-0)
6 - 31:88.428, 1(Clear)(-0)
6 - 32:88.108, 1(Clear)(-0)
6 - 33:88.444, 1(Clear)(-0)
6 - 34:88.281, 1(Clear)(-0)
6 - 35:88.58701, 1(Clear)(-0)
6 - 36:88.38701, 1(Clear)(-0)
6 - 37:88.429, 1(Clear)(-0)
6 - 38:88.74, 1(Clear)(-0)
6 - 39:89.493, 1(Clear)(-0)
6 - 40:88.853, 1(Clear)(-0)
6 - 41:99.537, 2(Clear)(-0)
6 - 42:127.62, 0(Clear)(-0)
6 - 43:111.996, 1(Clear)(-0)
6 - 44:112.519, 2(Clear)(-0)
6 - 45:143.89, 0(Clear)(-0)
6 - 46:138.742, 1(Clear)(-0)
6 - 47:124.052, 1(Clear)(-0)
6 - 48:90.229, 1(Clear)(-0)
6 - 49:88.552, 1(Clear)(-0)
6 - 50:86.961, 1(Clear)(-0)
6 - 51:86.508, 1(Clear)(-0)
6 - 52:86.62299, 1(Clear)(-0)
6 - 53:86.79399, 1(Clear)(-0)
6 - 54:86.75, 1(Clear)(-0)
6 - 55:87.258, 1(Clear)(-0)
6 - 56:87.113, 1(Clear)(-0)
6 - 57:87.289, 1(Clear)(-0)
6 - 58:87.015, 1(Clear)(-0)
6 - 59:87.305, 1(Clear)(-0)
6 - 60:87.115, 1(Clear)(-0)
6 - 61:87.137, 1(Clear)(-0)
6 - 62:87.016, 1(Clear)(-0)
6 - 63:92.601, 2(Clear)(-0)
6 - 64:113.294, 0(Clear)(-0)
6 - 65:85.315, 1(Clear)(-0)
6 - 66:85.016, 1(Clear)(-0)
6 - 67:84.821, 1(Clear)(-0)
6 - 68:86.611, 1(Retire)(-0)
KVYAT
7 - 0:98.483, 1(Clear)(-0)
7 - 1:91.656, 1(Clear)(-0)
7 - 2:90.104, 1(Clear)(-0)
7 - 3:90.003, 1(Clear)(-0)
7 - 4:89.58701, 1(Clear)(-0)
7 - 5:89.658, 1(Clear)(-0)
7 - 6:89.603, 1(Clear)(-0)
7 - 7:91.34, 1(Clear)(-0)
7 - 8:89.97, 1(Clear)(-0)
7 - 9:89.88801, 1(Clear)(-0)
7 - 10:90.616, 1(Clear)(-0)
7 - 11:89.62, 1(Clear)(-0)
7 - 12:92.71, 2(Clear)(-0)
7 - 13:108.099, 0(Clear)(-0)
7 - 14:89, 1(Clear)(-0)
7 - 15:90.37701, 1(Clear)(-0)
7 - 16:89.45701, 1(Clear)(-0)
7 - 17:89.249, 1(Clear)(-0)
7 - 18:89.09599, 1(Clear)(-0)
7 - 19:89.799, 1(Clear)(-0)
7 - 20:89.37701, 1(Clear)(-0)
7 - 21:89.536, 1(Clear)(-0)
7 - 22:89.748, 1(Clear)(-0)
7 - 23:89.55, 1(Clear)(-0)
7 - 24:89.658, 1(Clear)(-0)
7 - 25:90.436, 1(Clear)(-0)
7 - 26:90.043, 1(Clear)(-0)
7 - 27:89.441, 1(Clear)(-0)
7 - 28:89.753, 1(Clear)(-0)
7 - 29:89.745, 1(Clear)(-0)
7 - 30:89.35201, 1(Clear)(-0)
7 - 31:89.306, 1(Clear)(-0)
7 - 32:91.945, 2(Clear)(-0)
7 - 33:106.638, 0(Clear)(-0)
7 - 34:86.97, 1(Clear)(-0)
7 - 35:87.23599, 1(Clear)(-0)
7 - 36:87.562, 1(Clear)(-0)
7 - 37:87.556, 1(Clear)(-0)
7 - 38:89.90701, 1(Clear)(-0)
7 - 39:88.811, 1(Clear)(-0)
7 - 40:89.036, 1(Clear)(-0)
7 - 41:108.722, 1(Clear)(-0)
7 - 42:110.93, 2(Clear)(-0)
7 - 43:129.17, 0(Clear)(-0)
7 - 44:98.502, 2(Clear)(-0)
7 - 45:112.487, 0(Clear)(-0)
7 - 46:136.826, 1(Clear)(-0)
7 - 47:122.036, 1(Clear)(-0)
7 - 48:91.177, 1(Clear)(-0)
7 - 49:87.909, 1(Clear)(-0)
7 - 50:88.089, 1(Clear)(-0)
7 - 51:86.824, 1(Clear)(-0)
7 - 52:87.311, 1(Clear)(-0)
7 - 53:86.87901, 1(Clear)(-0)
7 - 54:86.76099, 1(Clear)(-0)
7 - 55:86.711, 1(Clear)(-0)
7 - 56:86.519, 1(Clear)(-0)
7 - 57:87.243, 1(Clear)(-0)
7 - 58:87.582, 1(Clear)(-0)
7 - 59:86.91701, 1(Clear)(-0)
7 - 60:86.712, 1(Clear)(-0)
7 - 61:87.113, 1(Clear)(-0)
7 - 62:87.284, 1(Clear)(-0)
7 - 63:88.727, 1(Clear)(-0)
7 - 64:87.368, 1(Clear)(-0)
7 - 65:87.101, 1(Clear)(-0)
7 - 66:87.451, 1(Clear)(-0)
7 - 67:87.544, 1(Clear)(-0)
7 - 68:87.91701, 1(Retire)(-0)
ALONSO
8 - 0:102.692, 1(Clear)(-0)
8 - 1:92.138, 1(Clear)(-0)
8 - 2:90.956, 1(Clear)(-0)
8 - 3:90.629, 1(Clear)(-0)
8 - 4:90.39, 1(Clear)(-0)
8 - 5:91.251, 1(Clear)(-0)
8 - 6:90.153, 1(Clear)(-0)
8 - 7:90.363, 1(Clear)(-0)
8 - 8:90.381, 1(Clear)(-0)
8 - 9:89.767, 1(Clear)(-0)
8 - 10:90.09, 1(Clear)(-0)
8 - 11:90.075, 1(Clear)(-0)
8 - 12:90.355, 1(Clear)(-0)
8 - 13:90.2, 1(Clear)(-0)
8 - 14:92.306, 2(Clear)(-0)
8 - 15:107.493, 0(Clear)(-0)
8 - 16:89.342, 1(Clear)(-0)
8 - 17:89.40701, 1(Clear)(-0)
8 - 18:89.386, 1(Clear)(-0)
8 - 19:89.181, 1(Clear)(-0)
8 - 20:90.538, 1(Clear)(-0)
8 - 21:89.316, 1(Clear)(-0)
8 - 22:89.35801, 1(Clear)(-0)
8 - 23:89.219, 1(Clear)(-0)
8 - 24:89.34, 1(Clear)(-0)
8 - 25:89.454, 1(Clear)(-0)
8 - 26:89.439, 1(Clear)(-0)
8 - 27:89.269, 1(Clear)(-0)
8 - 28:90.003, 1(Clear)(-0)
8 - 29:89.217, 1(Clear)(-0)
8 - 30:89.46, 1(Clear)(-0)
8 - 31:89.043, 1(Clear)(-0)
8 - 32:89.607, 1(Clear)(-0)
8 - 33:89.462, 1(Clear)(-0)
8 - 34:89.301, 1(Clear)(-0)
8 - 35:92.104, 2(Clear)(-0)
8 - 37:107.803, 0(Clear)(-0)
8 - 38:90.66, 1(Clear)(-0)
8 - 39:89.507, 1(Clear)(-0)
8 - 40:89.94701, 1(Clear)(-0)
8 - 41:89.589, 1(Clear)(-0)
8 - 42:112.497, 1(Clear)(-0)
8 - 43:112.333, 2(Clear)(-0)
8 - 44:151.24, 0(Clear)(-0)
8 - 45:144.712, 2(Clear)(-0)
8 - 45:121.943, 0(Clear)(-0)
8 - 46:91.29099, 1(Clear)(-0)
8 - 47:90.34701, 1(Clear)(-0)
8 - 48:89.035, 1(Clear)(-0)
8 - 49:88.633, 1(Clear)(-0)
8 - 50:89.032, 1(Clear)(-0)
8 - 51:89.896, 1(Clear)(-0)
8 - 52:89.202, 1(Clear)(-0)
8 - 53:88.909, 1(Clear)(-0)
8 - 54:89.113, 1(Clear)(-0)
8 - 55:88.617, 1(Clear)(-0)
8 - 56:88.671, 1(Clear)(-0)
8 - 57:87.97, 1(Clear)(-0)
8 - 58:88.173, 1(Clear)(-0)
8 - 59:87.965, 1(Clear)(-0)
8 - 60:87.554, 1(Clear)(-0)
8 - 61:87.49, 1(Clear)(-0)
8 - 62:87.717, 1(Clear)(-0)
8 - 63:88.067, 1(Clear)(-0)
8 - 64:88.61, 1(Clear)(-0)
8 - 65:88.62499, 1(Clear)(-0)
8 - 66:87.311, 1(Clear)(-0)
8 - 67:87.976, 1(Clear)(-0)
8 - 68:87.944, 1(Retire)(-0)
BUTTON
9 - 0:103.467, 1(Clear)(-0)
9 - 1:92.813, 1(Clear)(-0)
9 - 2:91.399, 1(Clear)(-0)
9 - 3:90.85901, 1(Clear)(-0)
9 - 4:90.55801, 1(Clear)(-0)
9 - 5:90.512, 1(Clear)(-0)
9 - 6:90.004, 1(Clear)(-0)
9 - 7:90.082, 1(Clear)(-0)
9 - 8:90.469, 1(Clear)(-0)
9 - 9:90.24, 1(Clear)(-0)
9 - 10:90.583, 1(Clear)(-0)
9 - 11:90.185, 1(Clear)(-0)
9 - 12:90.31001, 1(Clear)(-0)
9 - 13:93.16399, 2(Clear)(-0)
9 - 14:107.162, 0(Clear)(-0)
9 - 15:89.883, 1(Clear)(-0)
9 - 16:89.315, 1(Clear)(-0)
9 - 17:89.474, 1(Clear)(-0)
9 - 18:89.535, 1(Clear)(-0)
9 - 19:89.783, 1(Clear)(-0)
