HAMILTON
3 - 15:124.233, 0(Clear)(-0)
3 - 16:116.692, 1(Clear)(-0)
3 - 17:116.367, 1(Clear)(-0)
3 - 18:116.158, 1(Clear)(-0)
3 - 19:117.186, 1(Clear)(-0)
3 - 20:152.626, 2(Clear)(-0)
3 - 21:129.969, 0(Clear)(-0)
3 - 22:114.646, 1(Clear)(-0)
3 - 23:115.732, 1(Clear)(-0)
3 - 24:115.42, 1(Clear)(-0)
3 - 25:114.787, 1(Clear)(-0)
3 - 26:114.907, 1(Clear)(-0)
3 - 27:114.834, 1(Clear)(-0)
3 - 28:115.71, 1(Clear)(-0)
3 - 29:114.903, 1(Clear)(-0)
3 - 30:114.899, 1(Clear)(-0)
3 - 31:115.183, 1(Clear)(-0)
3 - 32:115.079, 1(Clear)(-0)
3 - 33:114.942, 1(Clear)(-0)
3 - 34:115.11, 1(Clear)(-0)
3 - 35:114.841, 1(Clear)(-0)
3 - 36:114.978, 1(Clear)(-0)
3 - 37:115.34, 1(Clear)(-0)
3 - 38:117.543, 1(Clear)(-0)
3 - 39:115.491, 1(Clear)(-0)
3 - 40:115.316, 1(Clear)(-0)
3 - 41:116.758, 1(Clear)(-0)
3 - 42:116.141, 1(Retire)(-0)
VETTEL
4 - 0:121.92, 1(Clear)(-0)
4 - 1:117.106, 1(Clear)(-0)
4 - 2:116.388, 1(Clear)(-0)
4 - 3:116.867, 1(Clear)(-0)
4 - 4:116.676, 1(Clear)(-0)
4 - 5:116.737, 1(Clear)(-0)
4 - 6:116.652, 1(Clear)(-0)
4 - 7:117.346, 1(Clear)(-0)
4 - 8:117.179, 1(Clear)(-0)
4 - 9:117.459, 1(Clear)(-0)
4 - 10:117.478, 1(Clear)(-0)
4 - 11:118.217, 1(Clear)(-0)
4 - 12:117.926, 1(Clear)(-0)
4 - 13:122.971, 2(Clear)(-0)
4 - 14:128.622, 0(Clear)(-0)
4 - 15:116.128, 1(Clear)(-0)
4 - 16:116.184, 1(Clear)(-0)
4 - 17:116.008, 1(Clear)(-0)
4 - 18:116.115, 1(Clear)(-0)
4 - 19:116.348, 1(Clear)(-0)
4 - 20:142.634, 1(Clear)(-0)
4 - 21:124.049, 1(Clear)(-0)
4 - 22:115.397, 1(Clear)(-0)
4 - 23:115.386, 1(Clear)(-0)
4 - 24:115.808, 1(Clear)(-0)
4 - 25:115.765, 1(Clear)(-0)
4 - 26:115.856, 1(Clear)(-0)
4 - 27:115.551, 1(Clear)(-0)
4 - 28:115.316, 1(Clear)(-0)
4 - 29:115.523, 1(Clear)(-0)
4 - 30:115.432, 1(Clear)(-0)
4 - 31:115.443, 1(Clear)(-0)
4 - 32:115.497, 1(Clear)(-0)
4 - 33:115.761, 1(Clear)(-0)
4 - 34:115.884, 1(Clear)(-0)
4 - 35:115.711, 1(Clear)(-0)
4 - 36:115.52, 1(Clear)(-0)
4 - 37:115.696, 1(Clear)(-0)
4 - 38:116.407, 1(Clear)(-0)
4 - 39:115.949, 1(Clear)(-0)
4 - 40:116.116, 1(Clear)(-0)
4 - 41:183.554, 2(Retire)(-0)
RAIKKONEN
5 - 0:126.321, 1(Clear)(-0)
5 - 1:117.466, 1(Clear)(-0)
5 - 2:117.964, 1(Clear)(-0)
5 - 3:117.963, 1(Clear)(-0)
5 - 4:117.344, 1(Clear)(-0)
5 - 5:117.401, 1(Clear)(-0)
5 - 6:117.684, 1(Clear)(-0)
5 - 7:118.616, 1(Clear)(-0)
5 - 8:118.82, 1(Clear)(-0)
5 - 9:117.035, 1(Clear)(-0)
5 - 10:122.307, 2(Clear)(-0)
5 - 11:128.635, 0(Clear)(-0)
5 - 12:116.655, 1(Clear)(-0)
5 - 13:116.313, 1(Clear)(-0)
5 - 14:115.81, 1(Clear)(-0)
5 - 15:115.987, 1(Clear)(-0)
5 - 16:116.247, 1(Clear)(-0)
5 - 17:116.852, 1(Clear)(-0)
5 - 18:116.389, 1(Clear)(-0)
5 - 19:116.881, 1(Clear)(-0)
5 - 20:149.88, 2(Clear)(-0)
5 - 21:129.22, 0(Clear)(-0)
5 - 22:114.543, 1(Clear)(-0)
5 - 23:115.426, 1(Clear)(-0)
5 - 24:114.57, 1(Clear)(-0)
5 - 25:115.205, 1(Clear)(-0)
5 - 26:115.121, 1(Clear)(-0)
5 - 27:115.194, 1(Clear)(-0)
5 - 28:115.195, 1(Clear)(-0)
5 - 29:114.517, 1(Clear)(-0)
5 - 30:115.182, 1(Clear)(-0)
5 - 31:115.063, 1(Clear)(-0)
5 - 32:114.817, 1(Clear)(-0)
5 - 33:115.273, 1(Clear)(-0)
5 - 34:115.626, 1(Clear)(-0)
5 - 35:115.527, 1(Clear)(-0)
5 - 36:116.505, 1(Clear)(-0)
5 - 37:116.048, 1(Clear)(-0)
5 - 38:115.899, 1(Clear)(-0)
5 - 39:116.592, 1(Clear)(-0)
5 - 40:116.381, 1(Clear)(-0)
5 - 41:117.934, 1(Clear)(-0)
5 - 42:117.682, 1(Retire)(-0)
RICCIARDO
6 - 0:119.95, 1(Clear)(-0)
6 - 1:116.263, 1(Clear)(-0)
6 - 2:116.429, 1(Clear)(-0)
6 - 3:116.453, 1(Clear)(-0)
6 - 4:116.417, 1(Clear)(-0)
6 - 5:116.785, 1(Clear)(-0)
6 - 6:121.699, 2(Clear)(-0)
6 - 7:130.249, 0(Clear)(-0)
6 - 8:116.739, 1(Clear)(-0)
6 - 9:116.463, 1(Clear)(-0)
6 - 10:117.569, 1(Clear)(-0)
6 - 11:118.162, 1(Clear)(-0)
6 - 12:117.262, 1(Clear)(-0)
6 - 13:117.035, 1(Clear)(-0)
6 - 14:117.154, 1(Clear)(-0)
6 - 15:116.331, 1(Clear)(-0)
6 - 16:116.448, 1(Clear)(-0)
6 - 17:118.08, 1(Clear)(-0)
6 - 18:116.757, 1(Retire)(-0)
KVYAT
7 - 0:124.633, 1(Clear)(-0)
7 - 1:117.907, 1(Clear)(-0)
7 - 2:116.706, 1(Clear)(-0)
7 - 3:117.52, 1(Clear)(-0)
7 - 4:117.581, 1(Clear)(-0)
7 - 5:116.529, 1(Clear)(-0)
7 - 6:117.741, 1(Clear)(-0)
7 - 7:119.742, 1(Clear)(-0)
7 - 8:123.005, 2(Clear)(-0)
7 - 9:130.916, 0(Clear)(-0)
7 - 10:116.364, 1(Clear)(-0)
7 - 11:116.288, 1(Clear)(-0)
7 - 12:116.186, 1(Clear)(-0)
7 - 13:116.762, 1(Clear)(-0)
7 - 14:116.296, 1(Clear)(-0)
7 - 15:116.257, 1(Clear)(-0)
7 - 16:116.771, 1(Clear)(-0)
7 - 17:116.546, 1(Clear)(-0)
7 - 18:116.253, 1(Clear)(-0)
7 - 19:116.933, 1(Clear)(-0)
7 - 20:146.893, 1(Clear)(-0)
7 - 21:121.92, 1(Clear)(-0)
7 - 22:116.326, 1(Clear)(-0)
7 - 23:116.743, 1(Clear)(-0)
7 - 24:116.751, 1(Clear)(-0)
7 - 25:116.307, 1(Clear)(-0)
7 - 26:120.629, 2(Clear)(-0)
7 - 27:127.039, 0(Clear)(-0)
7 - 28:113.032, 1(Clear)(-0)
7 - 29:113.835, 1(Clear)(-0)
7 - 30:114.054, 1(Clear)(-0)
7 - 31:113.834, 1(Clear)(-0)
7 - 32:113.564, 1(Clear)(-0)
7 - 33:113.78, 1(Clear)(-0)
7 - 34:113.806, 1(Clear)(-0)
7 - 35:114.216, 1(Clear)(-0)
7 - 36:114.244, 1(Clear)(-0)
7 - 37:116.229, 1(Clear)(-0)
7 - 38:115.87, 1(Clear)(-0)
7 - 39:115.55, 1(Clear)(-0)
7 - 40:113.965, 1(Clear)(-0)
7 - 41:115.574, 1(Clear)(-0)
7 - 42:114.982, 1(Retire)(-0)
ALONSO
8 - 0:127.088, 1(Clear)(-0)
8 - 1:119.61, 1(Clear)(-0)
8 - 2:119.196, 1(Clear)(-0)
8 - 3:119.487, 1(Clear)(-0)
8 - 4:119.864, 1(Clear)(-0)
8 - 5:119.348, 1(Clear)(-0)
8 - 6:119.326, 1(Clear)(-0)
8 - 7:124.154, 2(Clear)(-0)
8 - 8:131.646, 0(Clear)(-0)
8 - 9:118.971, 1(Clear)(-0)
8 - 10:118.674, 1(Clear)(-0)
8 - 11:118.552, 1(Clear)(-0)
8 - 12:118.642, 1(Clear)(-0)
8 - 13:118.348, 1(Clear)(-0)
8 - 14:118.149, 1(Clear)(-0)
8 - 15:118.158, 1(Clear)(-0)
8 - 16:119.021, 1(Clear)(-0)
8 - 17:118.496, 1(Clear)(-0)
8 - 18:118.33, 1(Clear)(-0)
8 - 19:127.629, 2(Clear)(-0)
8 - 20:153.685, 0(Clear)(-0)
8 - 21:115.522, 1(Clear)(-0)
8 - 22:116.338, 1(Clear)(-0)
8 - 23:116.706, 1(Clear)(-0)
8 - 24:116.844, 1(Clear)(-0)
8 - 25:116.938, 1(Clear)(-0)
