HAMILTON
2 - 32:104.969, 1(Clear)(-0)
2 - 33:109.55, 2(Clear)(-0)
2 - 34:122.737, 0(Clear)(-0)
2 - 35:102.99, 1(Clear)(-0)
2 - 36:102.734, 1(Clear)(-0)
2 - 37:103.109, 1(Clear)(-0)
2 - 38:103.236, 1(Clear)(-0)
2 - 39:103.656, 1(Clear)(-0)
2 - 40:103.802, 1(Clear)(-0)
2 - 41:103.568, 1(Clear)(-0)
2 - 42:103.892, 1(Clear)(-0)
2 - 43:103.993, 1(Clear)(-0)
2 - 44:103.631, 1(Clear)(-0)
2 - 45:103.236, 1(Clear)(-0)
2 - 46:103.317, 1(Clear)(-0)
2 - 47:103.691, 1(Clear)(-0)
2 - 48:104.064, 1(Clear)(-0)
2 - 49:104.032, 1(Clear)(-0)
2 - 50:103.852, 1(Clear)(-0)
2 - 51:103.613, 1(Clear)(-0)
2 - 52:114.601, 1(Clear)(-0)
2 - 53:134.056, 1(Clear)(-0)
2 - 54:117.325, 1(Clear)(-0)
2 - 55:139.56, 1(Clear)(-0)
BOTTAS
3 - 0:110.114, 1(Clear)(-0)
3 - 1:105.441, 1(Clear)(-0)
3 - 2:105.158, 1(Clear)(-0)
3 - 3:104.89, 1(Clear)(-0)
3 - 4:105.21, 1(Clear)(-0)
3 - 5:104.89, 1(Clear)(-0)
3 - 6:104.924, 1(Clear)(-0)
3 - 7:105.409, 1(Clear)(-0)
3 - 8:105.539, 1(Clear)(-0)
3 - 9:105.856, 1(Clear)(-0)
3 - 10:106.32, 1(Clear)(-0)
3 - 11:106.02, 1(Clear)(-0)
3 - 12:105.918, 1(Clear)(-0)
3 - 13:109.88, 2(Clear)(-0)
3 - 14:123.005, 0(Clear)(-0)
3 - 15:105.171, 1(Clear)(-0)
3 - 16:105.456, 1(Clear)(-0)
3 - 17:105.169, 1(Clear)(-0)
3 - 18:104.918, 1(Clear)(-0)
3 - 19:104.968, 1(Clear)(-0)
3 - 20:104.89, 1(Clear)(-0)
3 - 21:105.032, 1(Clear)(-0)
3 - 22:105.148, 1(Clear)(-0)
3 - 23:104.737, 1(Clear)(-0)
3 - 24:104.682, 1(Clear)(-0)
3 - 25:104.591, 1(Clear)(-0)
3 - 26:105.232, 1(Clear)(-0)
3 - 27:105.399, 1(Clear)(-0)
3 - 28:105.131, 1(Clear)(-0)
3 - 29:105.098, 1(Clear)(-0)
3 - 30:105.053, 1(Clear)(-0)
3 - 31:105.145, 1(Clear)(-0)
3 - 32:105.075, 1(Clear)(-0)
3 - 33:104.709, 1(Clear)(-0)
3 - 34:109.044, 2(Clear)(-0)
3 - 35:123.039, 0(Clear)(-0)
3 - 36:103.051, 1(Clear)(-0)
3 - 37:103.465, 1(Clear)(-0)
3 - 38:103.667, 1(Clear)(-0)
3 - 39:103.483, 1(Clear)(-0)
3 - 40:103.559, 1(Clear)(-0)
3 - 41:103.525, 1(Clear)(-0)
3 - 42:103.383, 1(Clear)(-0)
3 - 43:103.231, 1(Clear)(-0)
3 - 44:104.176, 1(Clear)(-0)
3 - 45:103.351, 1(Clear)(-0)
3 - 46:103.919, 1(Clear)(-0)
3 - 47:103.96, 1(Clear)(-0)
3 - 48:103.891, 1(Clear)(-0)
3 - 49:103.631, 1(Clear)(-0)
3 - 50:104.086, 1(Clear)(-0)
3 - 51:104.05, 1(Clear)(-0)
3 - 52:116.06, 1(Clear)(-0)
3 - 53:134.11, 1(Clear)(-0)
3 - 54:110.958, 1(Clear)(-0)
3 - 55:136.076, 1(Clear)(-0)
VETTEL
4 - 0:107.813, 1(Clear)(-0)
4 - 1:104.903, 1(Clear)(-0)
4 - 2:104.574, 1(Clear)(-0)
4 - 3:104.86, 1(Clear)(-0)
4 - 4:104.351, 1(Clear)(-0)
4 - 5:104.639, 1(Clear)(-0)
4 - 6:104.396, 1(Clear)(-0)
4 - 7:104.511, 1(Clear)(-0)
4 - 8:104.458, 1(Clear)(-0)
4 - 9:104.747, 1(Clear)(-0)
4 - 10:104.874, 1(Clear)(-0)
4 - 11:104.766, 1(Clear)(-0)
4 - 12:109.454, 2(Clear)(-0)
4 - 13:121.552, 0(Clear)(-0)
4 - 14:103.018, 1(Clear)(-0)
4 - 15:103.787, 1(Clear)(-0)
4 - 16:104.128, 1(Clear)(-0)
4 - 17:104.009, 1(Clear)(-0)
4 - 18:103.744, 1(Clear)(-0)
4 - 19:103.662, 1(Clear)(-0)
4 - 20:103.555, 1(Clear)(-0)
4 - 21:103.509, 1(Clear)(-0)
4 - 22:103.592, 1(Clear)(-0)
4 - 23:103.88, 1(Clear)(-0)
4 - 24:103.616, 1(Clear)(-0)
4 - 25:103.605, 1(Clear)(-0)
4 - 26:103.649, 1(Clear)(-0)
4 - 27:104.126, 1(Clear)(-0)
4 - 28:104.006, 1(Clear)(-0)
4 - 29:108.687, 2(Clear)(-0)
4 - 30:120.657, 0(Clear)(-0)
4 - 31:103.497, 1(Clear)(-0)
4 - 32:104.368, 1(Clear)(-0)
4 - 33:103.715, 1(Clear)(-0)
4 - 34:103.871, 1(Clear)(-0)
4 - 35:103.927, 1(Clear)(-0)
4 - 36:103.785, 1(Clear)(-0)
4 - 37:103.518, 1(Clear)(-0)
4 - 38:103.564, 1(Clear)(-0)
4 - 39:104.128, 1(Clear)(-0)
4 - 40:103.698, 1(Clear)(-0)
4 - 41:103.848, 1(Clear)(-0)
4 - 42:103.824, 1(Clear)(-0)
4 - 43:103.774, 1(Clear)(-0)
4 - 44:104.025, 1(Clear)(-0)
4 - 45:103.419, 1(Clear)(-0)
4 - 46:103.336, 1(Clear)(-0)
4 - 47:103.46, 1(Clear)(-0)
4 - 48:103.715, 1(Clear)(-0)
4 - 49:103.487, 1(Clear)(-0)
4 - 50:103.758, 1(Clear)(-0)
4 - 51:104.044, 1(Clear)(-0)
4 - 52:103.674, 1(Clear)(-0)
4 - 53:133.584, 1(Clear)(-0)
4 - 54:140.693, 1(Clear)(-0)
4 - 55:153.156, 1(Clear)(-0)
RAIKKONEN
