HAMILTON
3 - 8:107.066, 1(Clear)
3 - 9:106.679, 1(Clear)
3 - 10:108.019, 1(Clear)
3 - 11:109.285, 1(Clear)
3 - 12:109.083, 1(Clear)
3 - 13:109.598, 1(Clear)
3 - 14:108.639, 1(Clear)
3 - 15:107.903, 1(Clear)
3 - 16:107.319, 1(Clear)
3 - 17:107.791, 1(Clear)
3 - 18:108.042, 1(Clear)
3 - 19:107.976, 1(Clear)
3 - 20:107.792, 1(Clear)
3 - 21:108.08, 1(Clear)
3 - 22:108.304, 1(Clear)
3 - 23:109.205, 1(Clear)
3 - 24:113.996, 2(Clear)
3 - 25:124.96, 0(Clear)
3 - 26:105.195, 1(Clear)
3 - 27:105.351, 1(Clear)
3 - 28:105.389, 1(Clear)
3 - 29:107.386, 1(Clear)
3 - 30:105.614, 1(Clear)
3 - 31:105.923, 1(Clear)
3 - 32:105.995, 1(Clear)
3 - 33:106.945, 1(Clear)
3 - 34:105.233, 1(Clear)
3 - 35:105.302, 1(Clear)
3 - 36:105.206, 1(Clear)
3 - 37:105.32, 1(Clear)
3 - 38:105.026, 1(Clear)
3 - 39:109.347, 2(Clear)
3 - 40:123.551, 0(Clear)
3 - 41:104.088, 1(Clear)
3 - 42:104.099, 1(Clear)
3 - 43:104.226, 1(Clear)
3 - 44:104.384, 1(Clear)
3 - 45:104.386, 1(Clear)
3 - 46:104.283, 1(Clear)
3 - 47:104.523, 1(Clear)
3 - 48:104.444, 1(Clear)
3 - 49:104.599, 1(Clear)
3 - 50:104.767, 1(Clear)
3 - 51:104.863, 1(Clear)
3 - 52:105.644, 1(Clear)
3 - 53:105.787, 1(Clear)
3 - 54:106.518, 1(Clear)
3 - 55:106.36, 1(Clear)
VETTEL
4 - 0:112.002, 1(Clear)
4 - 1:106.83, 1(Clear)
4 - 2:106.795, 1(Clear)
4 - 3:129.884, 1(Clear)
4 - 4:149.327, 1(Clear)
4 - 5:156.358, 1(Clear)
4 - 6:106.037, 1(Clear)
4 - 7:106.216, 1(Clear)
4 - 8:106.326, 1(Clear)
4 - 9:106.264, 1(Clear)
4 - 10:106.47, 1(Clear)
4 - 11:106.21, 1(Clear)
4 - 12:106.677, 1(Clear)
4 - 13:106.649, 1(Clear)
4 - 14:106.71, 1(Clear)
4 - 15:106.946, 1(Clear)
4 - 16:111.047, 2(Clear)
4 - 17:123.523, 0(Clear)
4 - 18:104.452, 1(Clear)
4 - 19:104.896, 1(Clear)
4 - 20:105.706, 1(Clear)
4 - 21:104.725, 1(Clear)
4 - 22:104.983, 1(Clear)
4 - 23:104.964, 1(Clear)
4 - 24:104.952, 1(Clear)
4 - 25:105.058, 1(Clear)
4 - 26:105.287, 1(Clear)
4 - 27:105.336, 1(Clear)
4 - 28:105.033, 1(Clear)
4 - 29:105.346, 1(Clear)
4 - 30:105.342, 1(Clear)
4 - 31:105.586, 1(Clear)
4 - 32:105.456, 1(Clear)
4 - 33:105.421, 1(Clear)
4 - 34:105.774, 1(Clear)
4 - 35:105.763, 1(Clear)
4 - 36:109.791, 2(Clear)
4 - 37:124.142, 0(Clear)
4 - 38:103.732, 1(Clear)
4 - 39:104.012, 1(Clear)
4 - 40:104.089, 1(Clear)
4 - 41:103.69, 1(Clear)
4 - 42:103.814, 1(Clear)
4 - 43:104.228, 1(Clear)
4 - 44:104.225, 1(Clear)
4 - 45:103.648, 1(Clear)
4 - 46:103.855, 1(Clear)
4 - 47:103.963, 1(Clear)
4 - 48:104.063, 1(Clear)
4 - 49:104.306, 1(Clear)
4 - 50:104.147, 1(Clear)
4 - 51:104.149, 1(Clear)
4 - 52:104.54, 1(Clear)
4 - 53:104.699, 1(Clear)
4 - 54:104.715, 1(Clear)
4 - 55:107.634, 1(Clear)
RAIKKONEN
5 - 0:120.564, 1(Clear)
5 - 1:152.942, 2(Clear)
5 - 2:143.953, 0(Clear)
5 - 3:136.147, 1(Clear)
