HAMILTON
2 - 29:100.053, 1(Clear)(-0)
2 - 30:100.537, 1(Clear)(-0)
2 - 31:100.41, 1(Clear)(-0)
2 - 32:100.775, 1(Clear)(-0)
2 - 33:99.981, 1(Clear)(-0)
2 - 34:100.513, 1(Clear)(-0)
2 - 35:100.47, 1(Clear)(-0)
2 - 36:100.185, 1(Clear)(-0)
2 - 37:100.303, 1(Clear)(-0)
2 - 38:100.432, 1(Clear)(-0)
2 - 39:100.292, 1(Clear)(-0)
2 - 40:100.547, 1(Clear)(-0)
2 - 41:100.651, 1(Clear)(-0)
2 - 42:100.476, 1(Clear)(-0)
2 - 43:100.584, 1(Clear)(-0)
2 - 44:100.592, 1(Clear)(-0)
2 - 45:100.466, 1(Clear)(-0)
2 - 46:100.973, 1(Clear)(-0)
2 - 47:100.818, 1(Clear)(-0)
2 - 48:101.774, 1(Clear)(-0)
2 - 49:102.001, 1(Clear)(-0)
2 - 50:101.618, 1(Clear)(-0)
2 - 51:101.52, 1(Clear)(-0)
2 - 53:102.878, 1(Clear)(-0)
2 - 54:104.805, 1(Clear)(-0)
2 - 55:102.922, 1(Clear)(-0)
2 - 56:103.08, 1(Clear)(-0)
0 - 56:0, 1(Clear)(-1)
BOTTAS
3 - 0:104.432, 1(Clear)(-0)
3 - 1:100.302, 1(Clear)(-0)
3 - 2:99.904, 1(Clear)(-0)
3 - 3:101.101, 1(Clear)(-0)
3 - 4:100.802, 1(Clear)(-0)
3 - 5:101.214, 1(Clear)(-0)
3 - 6:100.923, 1(Clear)(-0)
3 - 7:101.297, 1(Clear)(-0)
3 - 8:101.321, 1(Clear)(-0)
3 - 9:101.419, 1(Clear)(-0)
3 - 10:101.521, 1(Clear)(-0)
3 - 11:101.698, 1(Clear)(-0)
3 - 12:102.062, 1(Clear)(-0)
3 - 13:105.572, 2(Clear)(-0)
3 - 14:121.018, 0(Clear)(-0)
3 - 15:98.09499, 1(Clear)(-0)
3 - 16:98.656, 1(Clear)(-0)
3 - 17:98.87901, 1(Clear)(-0)
3 - 18:99.06, 1(Clear)(-0)
3 - 19:99.044, 1(Clear)(-0)
3 - 20:99.632, 1(Clear)(-0)
3 - 21:99.712, 1(Clear)(-0)
3 - 22:100.034, 1(Clear)(-0)
3 - 23:100.143, 1(Clear)(-0)
3 - 24:100.104, 1(Clear)(-0)
3 - 25:100.471, 1(Clear)(-0)
3 - 26:100.448, 1(Clear)(-0)
3 - 27:100.566, 1(Clear)(-0)
3 - 28:100.559, 1(Clear)(-0)
3 - 29:100.904, 1(Clear)(-0)
3 - 30:101.279, 1(Clear)(-0)
3 - 31:101.83, 1(Clear)(-0)
3 - 32:105.08, 2(Clear)(-0)
3 - 33:118.678, 0(Clear)(-0)
3 - 34:98.51, 1(Clear)(-0)
3 - 35:99.143, 1(Clear)(-0)
3 - 36:99.127, 1(Clear)(-0)
3 - 37:98.777, 1(Clear)(-0)
3 - 38:98.902, 1(Clear)(-0)
3 - 39:98.744, 1(Clear)(-0)
3 - 40:98.64, 1(Clear)(-0)
3 - 41:98.68, 1(Clear)(-0)
3 - 42:98.962, 1(Clear)(-0)
3 - 43:98.921, 1(Clear)(-0)
3 - 44:98.894, 1(Clear)(-0)
3 - 45:98.87801, 1(Clear)(-0)
3 - 46:99.438, 1(Clear)(-0)
3 - 47:99.491, 1(Clear)(-0)
3 - 48:99.25, 1(Clear)(-0)
3 - 49:99.375, 1(Clear)(-0)
3 - 50:99.521, 1(Clear)(-0)
3 - 51:99.45701, 1(Clear)(-0)
3 - 52:99.425, 1(Clear)(-0)
3 - 53:99.79199, 1(Clear)(-0)
3 - 54:99.73499, 1(Clear)(-0)
