HAMILTON
1 - 65:121.594, 1(Clear)(-0)
1 - 66:120.939, 1(Clear)(-0)
1 - 67:130.541, 1(Clear)(-0)
1 - 68:134.446, 1(Clear)(-0)
1 - 69:116.858, 1(Clear)(-0)
1 - 70:82.014, 1(Clear)(-0)
1 - 71:79.20399, 1(Clear)(-0)
1 - 72:78.603, 1(Clear)(-0)
1 - 73:78.829, 1(Clear)(-0)
1 - 74:78.607, 1(Clear)(-0)
1 - 75:78.599, 1(Clear)(-0)
1 - 76:79.156, 1(Clear)(-0)
1 - 77:79.815, 1(Clear)(-0)
MASSA
2 - 1:171.051, 2(Clear)(-0)
2 - 2:90.617, 0(Clear)(-0)
2 - 3:87.304, 1(Clear)(-0)
2 - 4:86.522, 1(Clear)(-0)
2 - 5:83.501, 1(Clear)(-0)
2 - 6:84.38701, 1(Clear)(-0)
2 - 7:82.73, 1(Clear)(-0)
2 - 8:82.368, 1(Clear)(-0)
2 - 9:82.638, 1(Clear)(-0)
2 - 10:82.202, 1(Clear)(-0)
2 - 11:82.269, 1(Clear)(-0)
2 - 12:81.3, 1(Clear)(-0)
2 - 13:81.567, 1(Clear)(-0)
2 - 14:81.41901, 1(Clear)(-0)
2 - 15:81.072, 1(Clear)(-0)
2 - 16:81.178, 1(Clear)(-0)
2 - 17:81.049, 1(Clear)(-0)
2 - 18:81.31701, 1(Clear)(-0)
2 - 19:81.257, 1(Clear)(-0)
2 - 20:81.036, 1(Clear)(-0)
2 - 21:81.504, 1(Clear)(-0)
2 - 22:81.188, 1(Clear)(-0)
2 - 23:81.61, 1(Clear)(-0)
2 - 24:81.152, 1(Clear)(-0)
2 - 25:81.515, 1(Clear)(-0)
2 - 26:81.921, 1(Clear)(-0)
2 - 27:84.298, 1(Clear)(-0)
2 - 28:81.953, 1(Clear)(-0)
2 - 29:83.925, 1(Clear)(-0)
2 - 30:85.009, 1(Clear)(-0)
2 - 31:86.061, 1(Clear)(-0)
2 - 33:87.36, 1(Clear)(-0)
2 - 34:81.834, 1(Clear)(-0)
2 - 35:83.255, 1(Clear)(-0)
2 - 36:82.74599, 1(Clear)(-0)
2 - 36:81.85901, 1(Clear)(-0)
2 - 37:82.26499, 1(Clear)(-0)
2 - 38:81.884, 1(Clear)(-0)
2 - 40:99.805, 2(Clear)(-0)
2 - 41:83.689, 0(Clear)(-0)
2 - 42:80.92599, 1(Clear)(-0)
2 - 43:85.155, 1(Clear)(-0)
2 - 44:82.64, 1(Clear)(-0)
2 - 45:80.62299, 1(Clear)(-0)
2 - 46:79.84801, 1(Clear)(-0)
2 - 47:79.87, 1(Clear)(-0)
2 - 48:79.935, 1(Clear)(-0)
2 - 49:80.26299, 1(Clear)(-0)
2 - 50:80.682, 1(Clear)(-0)
2 - 51:80.904, 1(Clear)(-0)
2 - 52:80.158, 1(Clear)(-0)
2 - 53:80.339, 1(Clear)(-0)
2 - 54:80.73499, 1(Clear)(-0)
2 - 55:82.34, 1(Clear)(-0)
