HAMILTON
2 - 40:88.34801, 1(Clear)(-0)
2 - 41:88.15, 1(Clear)(-0)
2 - 42:88.07, 1(Clear)(-0)
2 - 43:87.979, 1(Clear)(-0)
2 - 44:88.245, 1(Clear)(-0)
2 - 45:88.322, 1(Clear)(-0)
2 - 46:88.243, 1(Clear)(-0)
2 - 47:88.749, 1(Clear)(-0)
2 - 48:88.482, 1(Clear)(-0)
2 - 49:88.368, 1(Clear)(-0)
2 - 50:88.354, 1(Clear)(-0)
2 - 51:88.48801, 1(Clear)(-0)
2 - 52:89.51801, 1(Clear)(-0)
BOTTAS
3 - 0:92.983, 1(Clear)(-0)
3 - 1:89.44801, 1(Clear)(-0)
3 - 2:89.042, 1(Clear)(-0)
3 - 3:88.831, 1(Clear)(-0)
3 - 4:89.073, 1(Clear)(-0)
3 - 5:88.85701, 1(Clear)(-0)
3 - 6:88.89, 1(Clear)(-0)
3 - 7:88.972, 1(Clear)(-0)
3 - 8:88.88801, 1(Clear)(-0)
3 - 9:88.98901, 1(Clear)(-0)
3 - 10:89.366, 1(Clear)(-0)
3 - 11:88.97701, 1(Clear)(-0)
3 - 12:89.15701, 1(Clear)(-0)
3 - 13:90.516, 1(Clear)(-0)
3 - 14:89.461, 1(Clear)(-0)
3 - 15:89.519, 1(Clear)(-0)
3 - 16:89.555, 1(Clear)(-0)
3 - 17:89.62499, 1(Clear)(-0)
3 - 18:89.83, 1(Clear)(-0)
3 - 19:89.91801, 1(Clear)(-0)
3 - 20:89.881, 1(Clear)(-0)
3 - 21:94.504, 2(Clear)(-0)
3 - 22:109.995, 0(Clear)(-0)
3 - 23:88.834, 1(Clear)(-0)
3 - 24:88.4, 1(Clear)(-0)
3 - 25:88.41801, 1(Clear)(-0)
3 - 26:88.513, 1(Clear)(-0)
3 - 27:88.35801, 1(Clear)(-0)
3 - 28:88.16199, 1(Clear)(-0)
3 - 29:88.179, 1(Clear)(-0)
3 - 30:88.169, 1(Clear)(-0)
3 - 31:88.22099, 1(Clear)(-0)
3 - 32:88.181, 1(Clear)(-0)
3 - 33:88.145, 1(Clear)(-0)
3 - 34:88.027, 1(Clear)(-0)
