HAMILTON
2 - 39:105.684, 1(Clear)(-0)
2 - 40:104.245, 1(Clear)(-0)
2 - 41:102.58, 1(Clear)(-0)
2 - 42:105.55, 1(Clear)(-0)
2 - 43:120.875, 2(Clear)(-0)
2 - 44:135.965, 0(Clear)(-0)
2 - 45:112.623, 1(Clear)(-0)
2 - 46:111.887, 1(Clear)(-0)
2 - 47:111.411, 1(Clear)(-0)
2 - 48:111.407, 1(Clear)(-0)
2 - 49:111.962, 1(Clear)(-0)
2 - 50:112.649, 1(Clear)(-0)
2 - 51:113.588, 1(Clear)(-0)
BOTTAS
3 - 0:118.56, 1(Clear)(-0)
3 - 1:153.435, 1(Clear)(-0)
3 - 2:145.843, 1(Clear)(-0)
3 - 3:101.208, 1(Clear)(-0)
3 - 4:100.396, 1(Clear)(-0)
3 - 5:99.651, 1(Clear)(-0)
3 - 6:99.445, 1(Clear)(-0)
3 - 7:99.48, 1(Clear)(-0)
3 - 8:99.672, 1(Clear)(-0)
3 - 9:99.43, 1(Clear)(-0)
3 - 10:99.572, 1(Clear)(-0)
3 - 11:99.469, 1(Clear)(-0)
3 - 12:99.55701, 1(Clear)(-0)
3 - 13:99.439, 1(Clear)(-0)
3 - 14:99.404, 1(Clear)(-0)
3 - 15:99.398, 1(Clear)(-0)
3 - 16:99.752, 1(Clear)(-0)
3 - 17:99.56, 1(Clear)(-0)
3 - 18:99.38701, 1(Clear)(-0)
3 - 19:99.184, 1(Clear)(-0)
3 - 20:96.61, 2(Clear)(-0)
3 - 21:118.416, 0(Clear)(-0)
3 - 22:97.77499, 1(Clear)(-0)
3 - 23:97.627, 1(Clear)(-0)
3 - 24:97.63, 1(Clear)(-0)
3 - 25:97.698, 1(Clear)(-0)
3 - 26:97.56, 1(Clear)(-0)
3 - 27:97.856, 1(Clear)(-0)
3 - 28:97.639, 1(Clear)(-0)
3 - 29:97.561, 1(Clear)(-0)
3 - 30:97.598, 1(Clear)(-0)
3 - 31:97.513, 1(Clear)(-0)
3 - 32:98.155, 1(Clear)(-0)
3 - 33:132.608, 1(Clear)(-0)
3 - 34:117.898, 1(Clear)(-0)
3 - 35:99.301, 1(Clear)(-0)
3 - 36:99.12399, 1(Clear)(-0)
3 - 37:108.684, 1(Clear)(-0)
3 - 38:109.349, 1(Clear)(-0)
3 - 39:105.638, 1(Clear)(-0)
3 - 40:102.971, 1(Clear)(-0)
3 - 41:102.893, 1(Clear)(-0)
3 - 42:107.345, 1(Clear)(-0)
3 - 43:124.14, 2(Clear)(-0)
3 - 44:143.106, 0(Clear)(-0)
3 - 45:115.218, 1(Clear)(-0)
3 - 46:114.474, 1(Clear)(-0)
3 - 47:113.002, 1(Clear)(-0)
3 - 48:112.862, 1(Clear)(-0)
3 - 49:113.688, 1(Clear)(-0)
3 - 50:114.06, 1(Clear)(-0)
3 - 51:113.082, 1(Clear)(-0)
VETTEL
4 - 0:122.876, 1(Clear)(-0)
4 - 1:153.646, 1(Clear)(-0)
4 - 2:143.293, 1(Clear)(-0)
4 - 3:104.797, 1(Clear)(-0)
4 - 4:101.751, 1(Clear)(-0)
4 - 5:100.869, 1(Clear)(-0)
4 - 6:100.523, 1(Clear)(-0)
4 - 7:100.249, 1(Clear)(-0)
4 - 8:99.824, 1(Clear)(-0)
4 - 9:99.829, 1(Clear)(-0)
4 - 10:99.89, 1(Clear)(-0)
4 - 11:100.063, 1(Clear)(-0)
4 - 12:100.552, 1(Clear)(-0)
4 - 13:98.785, 2(Clear)(-0)
4 - 14:118.672, 0(Clear)(-0)
4 - 15:98.52, 1(Clear)(-0)
4 - 16:98.592, 1(Clear)(-0)
4 - 17:98.973, 1(Clear)(-0)
