HAMILTON
2 - 27:93.21999, 1(Clear)(-0)
2 - 28:93.118, 1(Clear)(-0)
2 - 29:92.91, 1(Clear)(-0)
2 - 30:92.755, 1(Clear)(-0)
2 - 31:92.813, 1(Clear)(-0)
2 - 32:92.77599, 1(Clear)(-0)
2 - 33:92.85701, 1(Clear)(-0)
2 - 34:92.612, 1(Clear)(-0)
2 - 35:92.607, 1(Clear)(-0)
2 - 36:92.29299, 1(Clear)(-0)
2 - 37:92.444, 1(Clear)(-0)
2 - 38:92.91, 1(Clear)(-0)
2 - 39:92.77599, 1(Clear)(-0)
2 - 40:92.747, 1(Clear)(-0)
2 - 41:92.35801, 1(Clear)(-0)
2 - 42:92.141, 1(Clear)(-0)
2 - 43:92.091, 1(Clear)(-0)
2 - 44:91.94701, 1(Clear)(-0)
2 - 45:92.27299, 1(Clear)(-0)
2 - 46:92.073, 1(Clear)(-0)
2 - 47:91.802, 1(Clear)(-0)
2 - 48:91.931, 1(Clear)(-0)
2 - 49:91.719, 1(Clear)(-0)
2 - 50:91.85901, 1(Clear)(-0)
2 - 51:91.85701, 1(Clear)(-0)
2 - 52:92.289, 1(Clear)(-0)
2 - 53:91.784, 1(Clear)(-0)
2 - 54:91.944, 1(Clear)(-0)
2 - 55:91.753, 1(Clear)(-0)
2 - 56:92, 1(Clear)(-0)
2 - 57:92.35801, 1(Clear)(-0)
BOTTAS
3 - 0:0, 2(Retire)(-0)
VETTEL
4 - 0:147.522, 1(Clear)(-0)
4 - 1:144.069, 1(Clear)(-0)
4 - 2:133.846, 1(Clear)(-0)
4 - 3:95.361, 1(Clear)(-0)
4 - 4:94.027, 1(Clear)(-0)
4 - 5:93.438, 1(Clear)(-0)
4 - 6:93.197, 1(Clear)(-0)
4 - 7:93.754, 1(Clear)(-0)
4 - 8:92.991, 1(Clear)(-0)
4 - 9:93.074, 1(Clear)(-0)
4 - 10:93.49, 1(Clear)(-0)
4 - 11:93.597, 1(Clear)(-0)
4 - 12:93.513, 1(Clear)(-0)
4 - 13:93.374, 1(Clear)(-0)
4 - 14:93.853, 1(Clear)(-0)
4 - 15:93.173, 1(Clear)(-0)
4 - 16:93.229, 1(Clear)(-0)
4 - 17:93.146, 1(Clear)(-0)
4 - 18:93.168, 1(Clear)(-0)
4 - 19:93.145, 1(Clear)(-0)
4 - 20:92.85901, 1(Clear)(-0)
4 - 21:92.30701, 1(Clear)(-0)
4 - 22:92.66399, 1(Clear)(-0)
4 - 23:111.263, 2(Clear)(-0)
4 - 24:98.543, 0(Clear)(-0)
4 - 25:92.115, 1(Clear)(-0)
4 - 26:92.429, 1(Clear)(-0)
4 - 27:92.67, 1(Clear)(-0)
4 - 28:92.432, 1(Clear)(-0)
4 - 29:92.51801, 1(Clear)(-0)
4 - 30:92.698, 1(Clear)(-0)
4 - 31:92.443, 1(Clear)(-0)
4 - 32:92.3, 1(Clear)(-0)
4 - 33:92.856, 1(Clear)(-0)
4 - 34:92.633, 1(Clear)(-0)
4 - 35:92.567, 1(Clear)(-0)
4 - 36:92.456, 1(Clear)(-0)
4 - 37:92.51801, 1(Clear)(-0)
4 - 38:93.729, 1(Clear)(-0)
4 - 39:92.644, 1(Clear)(-0)
4 - 40:92.673, 1(Clear)(-0)
4 - 41:92.653, 1(Clear)(-0)
4 - 42:92.129, 1(Clear)(-0)
4 - 43:92.334, 1(Clear)(-0)
4 - 44:92.288, 1(Clear)(-0)
4 - 45:92.054, 1(Clear)(-0)
4 - 46:92.259, 1(Clear)(-0)
4 - 47:92.037, 1(Clear)(-0)
4 - 48:92.127, 1(Clear)(-0)
4 - 49:91.754, 1(Clear)(-0)
4 - 50:91.578, 1(Clear)(-0)
4 - 51:91.45701, 1(Clear)(-0)
4 - 52:91.492, 1(Clear)(-0)
4 - 53:91.84701, 1(Clear)(-0)
4 - 54:91.719, 1(Clear)(-0)
4 - 55:91.478, 1(Clear)(-0)
4 - 56:91.717, 1(Clear)(-0)
4 - 57:93.383, 1(Clear)(-0)
RAIKKONEN
5 - 0:151.903, 1(Clear)(-0)
5 - 1:143.867, 1(Clear)(-0)
5 - 2:131.256, 1(Clear)(-0)
5 - 3:97.23, 1(Clear)(-0)
5 - 4:95.071, 1(Clear)(-0)
5 - 5:94.684, 1(Clear)(-0)
5 - 6:94.12599, 1(Clear)(-0)
5 - 7:94.26399, 1(Clear)(-0)
5 - 8:94.239, 1(Clear)(-0)
5 - 9:94.22199, 1(Clear)(-0)
5 - 10:94.061, 1(Clear)(-0)
5 - 11:93.999, 1(Clear)(-0)
5 - 12:93.898, 1(Clear)(-0)
5 - 13:94.582, 1(Clear)(-0)
5 - 14:94.486, 1(Clear)(-0)
5 - 15:117.6, 2(Clear)(-0)
5 - 16:99.215, 0(Clear)(-0)
5 - 17:91.96, 1(Clear)(-0)
5 - 18:93.242, 1(Clear)(-0)
5 - 19:92.112, 1(Clear)(-0)
5 - 20:92.009, 1(Clear)(-0)
5 - 21:92.19399, 1(Clear)(-0)
5 - 22:92.335, 1(Clear)(-0)
5 - 23:94.015, 1(Clear)(-0)
5 - 24:92.322, 1(Clear)(-0)
5 - 25:92.881, 1(Clear)(-0)
5 - 26:91.681, 1(Clear)(-0)
5 - 27:91.952, 1(Clear)(-0)
5 - 28:92.053, 1(Clear)(-0)
5 - 29:91.585, 1(Clear)(-0)
5 - 30:91.94701, 1(Clear)(-0)
5 - 31:91.52299, 1(Clear)(-0)
5 - 32:92.003, 1(Clear)(-0)
5 - 33:92.999, 1(Clear)(-0)
5 - 34:92.154, 1(Clear)(-0)
5 - 35:91.42599, 1(Clear)(-0)
5 - 36:91.697, 1(Clear)(-0)
5 - 37:91.759, 1(Clear)(-0)
5 - 38:92.31001, 1(Clear)(-0)
5 - 39:111.054, 2(Retire)(-0)
RICCIARDO
6 - 0:150.426, 1(Clear)(-0)
6 - 1:143.889, 1(Clear)(-0)
6 - 2:132.122, 1(Clear)(-0)
6 - 3:96.675, 1(Clear)(-0)
6 - 4:95.092, 1(Clear)(-0)
6 - 5:94.81001, 1(Clear)(-0)
6 - 6:94.42, 1(Clear)(-0)
6 - 7:94.51, 1(Clear)(-0)
6 - 8:94.213, 1(Clear)(-0)
6 - 9:94.23599, 1(Clear)(-0)
6 - 10:94.037, 1(Clear)(-0)
6 - 11:94.029, 1(Clear)(-0)
6 - 12:93.991, 1(Clear)(-0)
6 - 13:94.354, 1(Clear)(-0)
6 - 14:94.629, 1(Clear)(-0)
6 - 15:94.082, 1(Clear)(-0)
6 - 16:94.34, 1(Clear)(-0)
6 - 17:94.963, 1(Clear)(-0)
6 - 18:94.456, 1(Clear)(-0)
6 - 19:94.288, 1(Clear)(-0)
6 - 20:94.688, 1(Clear)(-0)
6 - 21:94.649, 1(Clear)(-0)
6 - 22:113.8, 2(Clear)(-0)
6 - 23:99.811, 0(Clear)(-0)
6 - 24:93.836, 1(Clear)(-0)
6 - 25:93.76099, 1(Clear)(-0)
6 - 26:93.543, 1(Clear)(-0)
6 - 27:93.574, 1(Clear)(-0)
6 - 28:93.102, 1(Clear)(-0)
6 - 29:92.939, 1(Clear)(-0)
6 - 30:93.207, 1(Clear)(-0)
6 - 31:93.139, 1(Clear)(-0)
6 - 32:93.128, 1(Clear)(-0)
6 - 33:93.167, 1(Clear)(-0)
6 - 34:93.005, 1(Clear)(-0)
6 - 35:93.063, 1(Clear)(-0)
6 - 36:92.934, 1(Clear)(-0)
6 - 37:92.9, 1(Clear)(-0)
6 - 38:93.231, 1(Clear)(-0)
6 - 39:93.172, 1(Clear)(-0)
6 - 40:93.003, 1(Clear)(-0)
6 - 41:93.03, 1(Clear)(-0)
6 - 42:93.045, 1(Clear)(-0)
6 - 43:93.37701, 1(Clear)(-0)
6 - 44:94.615, 1(Clear)(-0)
6 - 45:92.797, 1(Clear)(-0)
6 - 46:93.253, 1(Clear)(-0)
